class,schema,title,range,low,high,special,footnotes,arcrit,mcr,prob,wwg,nt,cbid
4590,JZ59,"ADMINISTRATIVE OFFICER I, RESOURCES AGENCY",A,"$3,353.00","$4,140.00",,"['01', '19', '21']",['151'],1,12,2,,S01
4590,JZ59,"ADMINISTRATIVE OFFICER I, RESOURCES AGENCY",B,"$4,020.00","$4,977.00",,"['01', '19', '21']",['151'],1,12,2,,S01
4558,JZ58,"ADMINISTRATIVE OFFICER II, RESOURCES AGENCY",,"$4,832.00","$6,004.00",,"['01', '19']",,1,12,2,,S01
4557,JZ57,"ADMINISTRATIVE OFFICER III, RESOURCES AGENCY",,"$5,311.00","$6,598.00",,"['01', '19']",,1,12,E,,S01
2450,EM45,"ADMINISTRATOR FOR ACADEMIC PLANNING AND DEVELOPMENT, CALIFORNIA COMMUNITY COLLEGES",,"$6,643.00","$8,318.00",,"['01', '19']",,1,12,E,,S21
2452,EM65,ADMINISTRATOR FOR FACILITIES PLANNING AND UTILIZATION CALIFORNIA COMMUNITY COLLEGES,,"$6,643.00","$8,318.00",,"['01', '19']",,1,12,E,,S21
2453,EM75,"ADMINISTRATOR FOR FISCAL PLANNING AND ADMINISTRATION, CALIFORNIA COMMUNITY COLLEGES",,"$6,643.00","$8,318.00",,"['01', '19']",,1,12,E,,S21
2451,EM55,"ADMINISTRATOR FOR STUDENT SERVICES PLANNING AND DEVELOPMENT,CALIFORNIA COMMUNITY COLLEGES",,"$6,643.00","$8,318.00",,"['01', '19']",,1,12,E,,S21
2456,EM83,ADMINISTRATOR FOR VOCATIONAL EDUCATION CALIFORNIA COMMUNITY COLLEGES,,"$6,643.00","$8,318.00",,"['01', '19']",,1,12,E,,S21
4358,JI40,ADMINISTRATOR I FRANCHISE TAX BOARD,,"$5,307.00","$6,973.00",,"['01', '19']",,1,12,E,,S01
9542,WR12,"ADMINISTRATOR I, FAIR EMPLOYMENT AND HOUSING",,"$5,830.00","$7,245.00",,"['01', '19']",,1,12,E,,S01
4357,JI30,ADMINISTRATOR II FRANCHISE TAX BOARD,,"$5,826.00","$7,660.00",,"['01', '19']",,1,12,E,,S01
9510,WR10,"ADMINISTRATOR II, FAIR EMPLOYMENT AND HOUSING",,"$7,088.00","$8,048.00",,"['01', '19']",,1,12,E,,M01
4352,JI20,ADMINISTRATOR III FRANCHISE TAX BOARD,,"$7,088.00","$8,450.00",,"['01', '19']",,1,12,E,,M01
4346,JI10,"ADMINISTRATOR IV, FRANCHISE TAX BOARD",,"$7,792.00","$9,292.00",,"['01', '19']",,1,12,E,,M01
5325,KY05,"ADMINISTRATOR, BENEFIT PROGRAMS",,"$7,088.00","$8,048.00",,"['01', '19']",,1,12,E,,E99
2822,FJ05,"ADMINISTRATOR, INDUSTRIAL EDUCATION PROGRAM, CALIFORNIA SCIENCE CENTER",,"$7,012.00","$7,963.00",,"['01', '19']",,1,12,E,,M21
2802,FJ15,"ADMINISTRATOR, SCIENCE PROGRAM, CALIFORNIA SCIENCE CENTER",,"$7,012.00","$7,963.00",,"['01', '19']",,1,12,E,,M21
9423,WM10,ADOPTIONS SPECIALIST,A,"$3,844.00","$5,032.00",,"['01', '19', '21']",['399'],1,12,E,,R19
9423,WM10,ADOPTIONS SPECIALIST,B,"$4,212.00","$5,527.00",,"['01', '19', '21']",['399'],1,12,E,,R19
9420,WL30,ADOPTIONS SUPERVISOR I,,"$5,498.00","$6,831.00",,"['01', '19']",,1,12,E,,S19
9391,WL29,ADOPTIONS SUPERVISOR II,,"$6,036.00","$7,500.00",,"['01', '19']",,1,12,E,,S19
1012,VI66,"AGENT TRAINEE, ALCOHOLIC BEVERAGE CONTROL",,"$3,077.00","$3,745.00",SISA,"['01', '34', 'P1']",,1,12,2,,R07
1013,VI67,"AGENT, ALCOHOLIC BEVERAGE CONTROL",A,"$4,019.00","$4,942.00",,"['01', '21', '34', 'P1']",['156'],1,12,2,,R07
1013,VI67,"AGENT, ALCOHOLIC BEVERAGE CONTROL",B,"$4,588.00","$5,916.00",,"['01', '21', '34', 'P1']",['156'],1,12,2,,R07
1013,VI67,"AGENT, ALCOHOLIC BEVERAGE CONTROL",C,"$5,035.00","$6,508.00",,"['01', '21', '34', 'P1']",['156'],1,12,2,,R07
9392,KJ68,AGING PROGRAMS ANALYST I,A,"$2,821.00","$3,647.00",,"['01', '19', '21']",['114'],1,12,2,,R19
9392,KJ68,AGING PROGRAMS ANALYST I,B,"$3,052.00","$3,983.00",,"['01', '19', '21']",['114'],1,12,2,,R19
9392,KJ68,AGING PROGRAMS ANALYST I,C,"$3,661.00","$4,793.00",,"['01', '19', '21']",['114'],1,12,2,,R19
9393,KJ66,AGING PROGRAMS ANALYST II,,"$4,403.00","$5,780.00",,['19'],,1,6,2,,R19
0365,AF20,AGRICULTURAL AIDE (SEASONAL),,$11.37,$12.59,HR,['36'],,1,0,2,NT,E
7891,ST50,AGRICULTURAL BIOLOGICAL TECHNICIAN,A,"$2,871.00","$3,596.00",,"['01', '21']",['171'],1,12,2,,R11
7891,ST50,AGRICULTURAL BIOLOGICAL TECHNICIAN,B,"$3,261.00","$4,081.00",,"['01', '21']",['171'],1,12,2,,R11
2512,EN40,AGRICULTURAL EDUCATION ADMINISTRATOR I,,"$6,650.00","$8,328.00",,"['01', '19']",,1,12,E,,S21
2513,EN50,AGRICULTURAL EDUCATION CONSULTANT,A,"$5,984.00","$7,489.00",,"['01', '19']",['047'],1,12,E,,R21
2513,EN50,AGRICULTURAL EDUCATION CONSULTANT,F,"$4,986.67","$6,240.83",,"['01', '19']",['047'],1,12,E,,R21
4002,ST55,AGRICULTURAL LABORATORY MICROSCOPIST,,"$3,487.00","$4,361.00",,['01'],,1,12,2,,R11
0647,BG25,AGRICULTURAL PEST CONTROL SPECIALIST,A,"$3,000.00","$3,757.00",,"['01', '21']","['162', '209']",1,12,2,,R11
0647,BG25,AGRICULTURAL PEST CONTROL SPECIALIST,B,"$3,261.00","$4,081.00",,"['01', '21']","['162', '209']",1,12,2,,R11
0647,BG25,AGRICULTURAL PEST CONTROL SPECIALIST,C,"$3,122.00","$3,906.00",,"['01', '21']","['162', '209']",1,12,2,,R11
0647,BG25,AGRICULTURAL PEST CONTROL SPECIALIST,D,"$3,261.00","$4,081.00",,"['01', '21']","['162', '209']",1,12,2,,R11
0647,BG25,AGRICULTURAL PEST CONTROL SPECIALIST,E,"$3,410.00","$4,268.00",,"['01', '21']","['162', '209']",1,12,2,,R11
0647,BG25,AGRICULTURAL PEST CONTROL SPECIALIST,F,"$3,571.00","$4,472.00",,"['01', '21']","['162', '209']",1,12,2,,R11
0553,BG35,AGRICULTURAL PEST CONTROL SUPERVISOR,A,"$3,743.00","$4,685.00",,"['01', '43']",['208'],1,12,E,,S11
0553,BG35,AGRICULTURAL PEST CONTROL SUPERVISOR,B,"$3,910.00","$4,898.00",,"['01', '43']",['208'],1,12,E,,S11
0553,BG35,AGRICULTURAL PEST CONTROL SUPERVISOR,C,"$4,104.00","$5,138.00",,"['01', '43']",['208'],1,12,E,,S11
0242,AS70,AGRICULTURAL SURVEY INTERVIEWER I,,$10.24,$11.28,HR,['36'],,1,0,2,NT,E
0241,AS60,AGRICULTURAL SURVEY INTERVIEWER II,,$11.37,$12.59,HR,['36'],,1,0,2,NT,E
0239,AS50,AGRICULTURAL SURVEY INTERVIEWER III,,$12.22,$14.08,HR,['36'],,1,0,2,NT,E
0034,AB90,AGRICULTURAL TECHNICIAN I (SEASONAL),,$13.43,$16.03,HR,['36'],,1,0,2,NT,R01
3520,AB95,AGRICULTURAL TECHNICIAN II (PERMANENT INTERMITTENT),,$13.95,$16.64,HR,['37'],,1,6,2,,R01
0033,AB80,AGRICULTURAL TECHNICIAN II (SEASONAL),,$13.95,$16.64,HR,['36'],,1,0,2,NT,R01
3521,AB92,AGRICULTURAL TECHNICIAN III (PERMANENT INTERMITTENT),,$15.07,$17.13,HR,['37'],,1,6,2,,R01
0032,AB70,AGRICULTURAL TECHNICIAN III (SEASONAL),,$15.07,$17.13,HR,['36'],,1,0,2,NT,R01
1165,AB01,AGRICULTURE PROGRAM SUPERVISOR I,,"$4,944.00","$6,136.00",,"['01', '19']",,1,12,E,,S01
1166,AB02,AGRICULTURE PROGRAM SUPERVISOR II,,"$5,427.00","$6,747.00",,"['01', '19']",,1,12,E,,S01
1167,AB03,AGRICULTURE PROGRAM SUPERVISOR III,,"$5,696.00","$7,080.00",,"['01', '19']",,1,12,E,,S01
1168,AB04,AGRICULTURE PROGRAM SUPERVISOR IV,,"$5,971.00","$7,434.00",,"['01', '19']",,1,12,E,,S01
3812,IB50,AIR POLLUTION RESEARCH SPECIALIST,,"$7,719.00","$9,663.00",,['19'],,1,6,E,,R09
3887,IB75,AIR POLLUTION SPECIALIST,A,"$4,343.00","$5,178.00",,"['01', '21']",['389'],1,12,2,,R09
3887,IB75,AIR POLLUTION SPECIALIST,B,"$5,200.00","$6,509.00",,"['01', '21']",['389'],1,12,2,,R09
3887,IB75,AIR POLLUTION SPECIALIST,C,"$6,719.00","$8,404.00",,"['01', '21']",['389'],1,12,2,,R09
9941,QR15,"AIR QUALITY ENGINEER I, DEPARTMENT OF CONSUMER AFFAIRS",A,"$4,760.00","$5,675.00",,"['01', '19', '21']",['383'],1,12,2,,R09
9941,QR15,"AIR QUALITY ENGINEER I, DEPARTMENT OF CONSUMER AFFAIRS",B,"$5,450.00","$6,819.00",,"['01', '19', '21']",['383'],1,12,2,,R09
9941,QR15,"AIR QUALITY ENGINEER I, DEPARTMENT OF CONSUMER AFFAIRS",C,"$7,126.00","$8,914.00",,"['01', '19', '21']",['383'],1,12,2,,R09
9942,QR20,"AIR QUALITY ENGINEER II, DEPARTMENT OF CONSUMER AFFAIRS",,"$7,719.00","$9,663.00",,"['01', '19']",,1,12,2,,R09
3735,IA84,AIR RESOURCES ENGINEER,A,"$4,760.00","$5,675.00",,"['01', '21']",['037'],1,12,2,,R09
3735,IA84,AIR RESOURCES ENGINEER,B,"$5,450.00","$6,819.00",,"['01', '21']",['037'],1,12,2,,R09
3735,IA84,AIR RESOURCES ENGINEER,C,"$6,719.00","$8,404.00",,"['01', '21']",['037'],1,12,2,,R09
3735,IA84,AIR RESOURCES ENGINEER,D,"$7,125.00","$8,915.00",,"['01', '21']",['037'],1,12,2,,R09
3935,IB84,AIR RESOURCES FIELD REPRESENTATIVE I,,"$3,908.00","$4,893.00",,['19'],,1,6,2,,R11
3937,IB82,AIR RESOURCES FIELD REPRESENTATIVE II,,"$4,290.00","$5,370.00",,['19'],,1,6,2,,R11
3938,IB80,AIR RESOURCES FIELD REPRESENTATIVE III,,"$4,711.00","$5,860.00",,"['01', '19']",,1,12,E,,S11
3762,IA86,AIR RESOURCES SUPERVISOR I,,"$8,390.00","$10,501.00",,"['01', '19']",,1,12,E,,S09
3763,IA88,AIR RESOURCES SUPERVISOR II,,"$9,215.00","$11,537.00",,"['01', '19']",,1,12,E,,S09
3872,IB92,AIR RESOURCES TECHNICIAN I,A,"$2,194.00","$2,743.00",,"['01', '21']",['070'],1,12,2,,R11
3872,IB92,AIR RESOURCES TECHNICIAN I,B,"$2,558.00","$3,200.00",,"['01', '21']",['070'],1,12,2,,R11
3873,IB90,AIR RESOURCES TECHNICIAN II,,"$2,871.00","$3,596.00",,,,1,6,2,,R11
9933,XU20,"ALCOHOL TREATMENT COUNSELOR, VETERANS HOME AND MEDICAL CENTER",,"$3,661.00","$4,793.00",,['19'],,1,6,E,,R19
2718,FG66,AMERICAN INDIAN EDUCATION ASSISTANT,A,"$4,510.00","$5,642.00",,"['01', '19', '21']","['047', '226']",1,12,E,,R21
2718,FG66,AMERICAN INDIAN EDUCATION ASSISTANT,B,"$5,445.00","$6,815.00",,"['01', '19', '21']","['047', '226']",1,12,E,,R21
2718,FG66,AMERICAN INDIAN EDUCATION ASSISTANT,F,"$3,758.33","$4,701.67",,"['01', '19', '21']","['047', '226']",1,12,E,,R21
2718,FG66,AMERICAN INDIAN EDUCATION ASSISTANT,G,"$4,537.50","$5,679.17",,"['01', '19', '21']","['047', '226']",1,12,E,,R21
2719,FG65,AMERICAN INDIAN EDUCATION CONSULTANT,A,"$5,984.00","$7,489.00",,['01'],['047'],1,12,E,,R21
2719,FG65,AMERICAN INDIAN EDUCATION CONSULTANT,F,"$4,986.67","$6,240.83",,['01'],['047'],1,12,E,,R21
7873,ST31,ANIMAL TECHNICIAN II,,"$2,558.00","$3,200.00",SISA,,,1,6,2,,R11
7871,ST30,ANIMAL TECHNICIAN III,,"$2,754.00","$3,446.00",,,,1,6,2,,R11
7876,ST25,ANIMAL TECHNICIAN IV,,"$3,124.00","$3,912.00",,"['01', '43']",,1,12,2,,S11
1831,CW85,APPEALS ASSISTANT,,"$3,085.00","$3,864.00",,,,1,6,2,,R04
9485,WO40,APPRENTICESHIP CONSULTANT,,"$4,829.00","$6,048.00",,"['01', '19']",,1,12,2,,R01
0517,BB11,"AQUATIC PEST CONTROL ASSISTANT PROGRAM MANAGER, DEPARTMENT OF BOATING AND WATERWAYS",,"$4,486.00","$5,618.00",,"['01', '43']",,1,12,E,,S11
0516,BB15,"AQUATIC PEST CONTROL PROGRAM MANAGER, DEPARTMENT OF BOATING AND WATERWAYS",,"$5,176.00","$6,436.00",,"['01', '43']",,1,12,E,,S11
0515,BB10,"AQUATIC PEST CONTROL SPECIALIST, DEPARTMENT OF BOATING AND WATERWAYS",A,"$3,000.00","$3,757.00",,"['01', '19', '21']",['363'],1,12,2,,R11
0515,BB10,"AQUATIC PEST CONTROL SPECIALIST, DEPARTMENT OF BOATING AND WATERWAYS",B,"$3,739.00","$4,680.00",,"['01', '19', '21']",['363'],1,12,2,,R11
0514,BB05,"AQUATIC PEST CONTROL TECHNICIAN, DEPARTMENT OF BOATING AND WATERWAYS",A,"$2,136.00","$2,672.00",SISA,"['01', '20', '21']",['362'],1,12,2,,R11
0514,BB05,"AQUATIC PEST CONTROL TECHNICIAN, DEPARTMENT OF BOATING AND WATERWAYS",B,"$2,377.00","$2,977.00",,"['01', '20', '21']",['362'],1,12,2,,R11
0514,BB05,"AQUATIC PEST CONTROL TECHNICIAN, DEPARTMENT OF BOATING AND WATERWAYS",C,"$2,658.00","$3,324.00",,"['01', '20', '21']",['362'],1,12,2,,R11
1023,BT90,ARCHEOLOGICAL AID -SEASONAL-,,$11.22,$13.37,HR,['36'],,1,0,2,NT,R11
1016,BT50,ARCHEOLOGICAL PROJECT LEADER -SEASONAL-,,$13.77,$16.91,HR,['36'],,1,0,2,NT,E
1021,BT80,ARCHEOLOGICAL SPECIALIST -SEASONAL-,,$11.71,$14.19,HR,['36'],,1,0,2,NT,E
4012,IN60,ARCHITECTURAL ASSISTANT,A,"$3,662.00","$4,367.00",,"['01', '19', '21']",['347'],1,12,2,,R11
4012,IN60,ARCHITECTURAL ASSISTANT,B,"$4,100.00","$5,132.00",,"['01', '19', '21']",['347'],1,12,2,,R11
4009,IN50,ARCHITECTURAL ASSOCIATE,,"$5,185.00","$6,490.00",,,,1,6,2,,R11
3886,IK63,ARCHITECTURAL DESIGNER,A,"$4,760.00","$5,675.00",,"['01', '19', '21']",['199'],1,12,2,,R09
3886,IK63,ARCHITECTURAL DESIGNER,B,"$5,450.00","$6,819.00",,"['01', '19', '21']",['199'],1,12,2,,R09
4006,IN40,ARCHITECTURAL SENIOR,,"$7,156.00","$8,960.00",,"['01', '19']",,1,12,E,,S09
2805,BU30,ARCHIVIST I,A,"$4,040.00","$5,057.00",,['19'],,1,6,E,,R21
2805,BU30,ARCHIVIST I,F,"$3,366.67","$4,214.17",,['19'],,1,6,E,,R21
2804,BU40,ARCHIVIST II,A,"$4,637.00","$5,802.00",,['19'],,1,6,E,,R21
2804,BU40,ARCHIVIST II,F,"$3,864.17","$4,835.00",,['19'],,1,6,E,,R21
9482,WO20,"AREA ADMINISTRATOR, DIVISION OF APPRENTICESHIP STANDARDS",,"$6,751.00","$7,666.00",,"['01', '19']",,1,12,E,,M01
3918,IG65,"AREA MANAGER, CAL/OSHA CONSULTATION SERVICE",,"$8,390.00","$10,501.00",,"['01', '19']",,1,12,E,,S09
6735,QF30,AREA OPERATIONS SUPERVISOR CALIFORNIA STATE FAIR,,"$3,656.00","$4,124.00",,"['01', '43']",,1,12,2,,S12
1956,DA40,ARMORY CUSTODIAN I,,"$2,354.00","$2,947.00",SISA,,,1,6,2,,R15
8997,VY85,ARSON AND BOMB INVESTIGATOR,,"$5,150.00","$6,653.00",,"['01', '19', '34', 'R3']",,1,12,2,,R07
8894,VY86,ARSON AND BOMB INVESTIGATOR ASSISTANT,A,"$4,474.00","$5,264.00",,"['01', '34', 'R3']",['248'],1,12,2,,R07
8894,VY86,ARSON AND BOMB INVESTIGATOR ASSISTANT,B,"$4,692.00","$6,052.00",,"['01', '34', 'R3']",['248'],1,12,2,,R07
2617,EU70,ASSISTANT CONSULTANT IN TEACHER PREPARATION,A,"$4,510.00","$5,642.00",,"['01', '19', '21']","['047', '249']",1,12,E,,R21
2617,EU70,ASSISTANT CONSULTANT IN TEACHER PREPARATION,B,"$5,445.00","$6,815.00",,"['01', '19', '21']","['047', '249']",1,12,E,,R21
2617,EU70,ASSISTANT CONSULTANT IN TEACHER PREPARATION,F,"$3,758.33","$4,701.67",,"['01', '19', '21']","['047', '249']",1,12,E,,R21
2617,EU70,ASSISTANT CONSULTANT IN TEACHER PREPARATION,G,"$4,537.50","$5,679.17",,"['01', '19', '21']","['047', '249']",1,12,E,,R21
5306,JM38,ASSISTANT ADMINISTRATIVE ANALYST -ACCOUNTING SYSTEMS-,,"$4,016.00","$5,029.00",,['19'],,1,6,2,,R01
0196,AQ50,ASSISTANT AGRICULTURAL ECONOMIST,,"$3,824.00","$4,788.00",,,,1,6,2,,R01
3016,GA98,ASSISTANT BOUNDARY DETERMINATION OFFICER,,"$5,450.00","$6,819.00",,,,1,6,2,,R09
2970,ME92,"ASSISTANT BOX OFFICE MANAGER, COW PALACE",,"$3,490.00","$4,321.00",,"['01', '19']",,1,12,E,,S01
8681,VD15,"ASSISTANT BUREAU CHIEF, DIVISION OF LAW ENFORCEMENT, DEPARTMENT OF JUSTICE",,"$8,783.00","$10,633.00",,"['01', '19', '34', 'R8']",,1,12,E,,M07
